Rank,ID,Value,Total
1,3b2798,29117500,517630884
2,BDiBTGYdrirEHls,12746150,26721434
3,33Ed9B,11036800,75515390
4,mcmahon_mo33334,6800000,34096550
5,6609DF,5532419,15445045
6,bfjohnsondmd,4656044,56286950
7,4F7905,4581000,21950800
8,Memeland,4416748,85565797
9,gh0stdotexe,4272733,187718193
10,24eFC3,4258800,4272528
11,aaliyev099,4063550,43161860
12,ZaneHunter85,3872500,85285733
13,Crypto_Shark23,3849126,13873901
14,f85789,3722500,59988000
15,neveropendoors,3514610,19028095
16,f2a7BE,3409188,93920144
17,34800d,3265870,77843794
18,CyphrETH,3092450,41446686
19,419b94,2998195,6961864
20,AlexKonium,2908739,4067809
21,75b23F,2725646,2837425
22,764cD9,2640195,41290160
23,0xMichael_,2601954,4688898
24,theholocat,2298674,3217429
25,yurei_nft,2197955,2763410
26,_Allan_Wei_2022,2177106,20426129
27,BigHuni,2152280,10461480
28,TakashiObu,2110506,23931963
29,F63EFA,2006310,2937075
30,9EA279,1934000,5575755
31,d60b48,1919525,1931200
32,pepepopee,1849288,16327653
33,asdasd95671868,1832608,18151921
34,07aE71,1784886,2609624
35,D7CD95,1748000,33912786
36,b56A1B,1696150,83716369
37,thisisludy,1595625,1596075
38,commoddo,1341051,5937355
39,0Db5E7,1296687,3781308
40,0XQKILLY,1284350,118514590
41,E4B1eF,1260500,2286000
42,borpii,1221267,14439619
43,fancake101,1199450,4355891
44,isitrel,1165385,3148933
45,MyCryptoWallet,1148888,1534762
46,titikmulainft,1137900,9048410
47,cookstour,1109407,77323252
48,4374c5,1099135,7140225
49,2ca885,1074400,130881006
50,BaleFang7,1064320,1413370
51,104a90,1062896,1246591
52,TheycallmeDG,1046141,6540829
53,f03954,1029900,5989013
54,0xfirerock,1008500,4914675
55,9D5750,1005000,3203755
56,PranavKanda,988030,1676290
57,thisiselli0t,958310,6128164
58,2911f5,948010,6466685
59,ItzelOsbor83893,946209,27808230
60,47A931,930000,4789032
61,7ec681,928593,1072872
62,0A5B56,925015,9391010
63,F94241,916935,8168762
64,d3A74F,890000,16240639
65,904950,885655,998095
66,C2c6b1,872587,1016701
67,CryptoFloki,867800,11748860
68,eA1126,832400,1731363
69,ErdaGumuskaya,792250,8591455
70,8CCf9D,789560,1944170
71,D4F125,766055,766055
72,pumppenguin,736000,15050771
73,951187,734572,3709771
74,6f4936,733998,841277
75,StarlordTarlord,724000,4510613
76,918bc1,691656,6429330
77,Still_Br0k3n,663639,11739292
78,394152,628838,628838
79,jay1ddie,601338,8837210
80,andy63089629,597350,3885061
81,dramanft,581875,7860615
82,kousis98,581649,2082995
83,228BE3,580560,15371990
84,FfA32F,551004,4305124
85,7b24CF,549180,10760807
86,96225E,548940,665724
87,0c6088,548128,769907
88,Metabape,545184,1477726
89,7CAdf2,545000,1977161
90,C57a6e,541853,696133
91,Stas24126580,529350,16396550
92,bCAEB4,526501,1130760
93,fmaic12,520380,3532835
94,NolehceNFT,512200,1724160
95,0xHustlepedia,492211,3786292
96,2A8a13,489172,633949
97,vakkudian,480372,1511219
98,f2e59D,474668,31131708
99,jason_eggscape,465264,2076551
100,0A913A,464500,1285750
101,E8010a,460485,8289013
102,41907f,459940,1374877
103,Margarette24050,452305,12539426
104,TheBlazedApe,443660,2926755
105,B1bCA1,442715,32165615
106,DilsRene,440700,7418762
107,11Cc13,427160,2115750
108,48141f,426825,4990930
109,8Da8EE,423250,430660
110,dingalingts,421315,24304600
111,ceston350,416925,1490510
112,C647E4,416650,1160900
113,LinusCaldwell5,414320,2412363
114,fA6c54,401750,726699
115,Ee14B3,396700,407905
116,d1C6d6,392400,852650
117,C677a9,392260,1387592
118,DoctaBre,366148,1230550
119,F7Cb13,365521,128016527
120,A53A40,364311,736594
121,NexusEcosystem,359875,13276280
122,bd2F11,345508,1071550
123,crazyfarmer69,340600,370300
124,Leader_Kaustav,332640,1036707
125,CloughJahn56444,330658,19588186
126,A9F364,330080,4906180
127,222767,328351,1501250
128,BA2624,325134,10481329
129,1ab9CC,320225,68907735
130,InfoPriv77,319625,628834
131,8ee003,316000,20614258
132,TheBullishTradR,313946,32712430
133,huntress_nft1,312070,22785541
134,eeB63B,311030,311030
135,Nitr0Nerd,310000,14825485
136,Sadie06133,300200,23154540
137,569555,300059,1070255
138,ozdenayy,298900,2243235
139,agg0n,296059,878677
140,Jack8SM,292900,1231705
141,FdcC4d,290320,6010185
142,e69A49,283698,962849
143,AtiqR18589,280719,12535767
144,BooNFTs,275525,310805
145,JonnaGeorg21881,266515,12677117
146,kelli_edel71308,265927,17524343
147,02Bf6C,260625,969600
148,AlixKellie44162,255919,12247471
149,5b88bC,255000,17946808
150,3F4f6D,254985,254985
151,Armzich,252986,914872
152,8B3904,251712,94953023
153,Fd7B85,247200,3072940
154,Force_FRC_1,228060,3260239
155,05882f,222500,4445040
156,6A0196,218875,225785
157,85172B,216651,22122187
158,janean19701,216065,22434636
159,ZinaAracel63438,215779,11879504
160,aaD224,215777,10710851
161,DanelleA32046,215482,12206027
162,ElleS10335,214601,12870818
163,5TimesDistilled,210815,12376900
164,pandareporting,210130,10363721
165,1796AB,208000,24921120
166,PatriciaSe51846,206810,20417672
167,AnnalisaGe75152,206515,10133705
168,HarryLynnB61916,206221,18539645
169,5E3FF6,206210,12416705
170,9c947c,205332,12286633
171,Redbearddude84,205304,1832517
172,bazinga_bazi,204500,9485484
173,SerPink_eth,203825,1276396
174,siryoyix,199292,2184070
175,yeheyy__,199140,610646
176,Reinvention_a,198932,1108933
177,CrypticCrypto23,197285,19130934
178,minstrell_,195900,5958595
179,RheaMarand20152,195898,12139242
180,SergiiTykhenko,194964,3343426
181,Broiler_Room,194674,215740
182,KezneyL,190520,4723220
183,JasonKen1222,190000,1525499
184,0b7C3E,187634,2281008
185,1be9E2,184468,6229132
186,riceboy42069,180120,16949134
187,D7a5Ab,174250,189900
188,anon4F48,171665,8238119
189,ArbitrageAndy1,170350,9417255
190,poor_yo,167896,196774
191,FaresNightNFT,167220,170812
192,38883B,166705,10655359
193,0xJulliette,166500,628525
194,botofbee,164424,167343
195,4715cE,164318,1423208
196,c80654,160950,160950
197,SMBBananaFarmer,159262,3332386
198,harrypotte63465,157039,1136524
199,295C50,157000,226700
200,ED9e56,155000,7674605
201,9fdE6f,151290,7222886
202,mooncat28781,150406,17788548
203,2cb979,149600,2844942
204,545F02,148475,150130
205,0C856B,147940,644118
206,1031ca,147462,424318
207,9CeDdf,144500,2225365
208,ce2462,144250,893005
209,28eAd9,141760,12092482
210,86ab47,141514,20168315
211,E919eb,137600,4057660
212,FB1E12,136786,11558109
213,FF139d,136693,12025897
214,Showmethewallet,136229,1355437
215,7Dc855,136000,1396434
216,Crypto_He,134470,17722988
217,Shannlws,133109,10754239
218,dcC299,129206,129206
219,A0FFc5,127356,127356
220,695f69,124901,129078
221,DFA515,124000,35979490
222,nftdjanko,123974,123974
223,trubka318,121900,559836
224,AbtMaximilian,121250,288425
225,wngku189115,120000,16835071
226,6f2Ff4,120000,457914
227,BlastPunkz,119253,876993
228,55Be6f,119138,135854
229,AcideArt,118298,413439
230,immortalilty_,118080,193984
231,crushing667,116709,411530472
232,pepsinated,115417,5728331
233,E30Ac7,112645,112645
234,F7C438,111957,133842
235,zp_land,109003,544377
236,fB0D70,108880,109435
237,cryptoconsumed,107828,6584113
238,3a7024,102626,12151880
239,30fFE7,102500,1036379
240,BowTiedOx,101043,1835510
241,rountripinvestr,99387,803046
242,0082ce,98700,239950
243,8a3c77,98300,477055
244,SrWagmi,97755,627536
245,jacktafff31336,96725,243825
246,eymiddlelmao,96630,1433451
247,bazzabegood,93960,712290
248,d28998,91500,7960360
249,ghostwaterdive,90000,329367
250,PulmonaryNFT,90000,1173665
251,30C9Eb,89656,336655
252,KayaEth,85674,1065618
253,mooncat2878,83252,575853
254,Anton5417582011,81024,887366
255,kgt5_oR,80500,465701
256,924caF,80000,541527
257,CookVault,78600,85136
258,hennessylee,77770,130840
259,83Ba7a,77500,298200
260,d60000,75849,141749
261,419605,73401,137051
262,0xBongo,72300,437161
263,3dD48A,71836,871366
264,0B5dD2,68830,10223745
265,isamu_eth,68600,513875
266,TTelankes61850,68377,472969
267,3Dce69,68140,368260
268,Aa65B2,66292,26291717
269,98EF95,66011,66011
270,DasherCrypto,65962,293391
271,6844B6,65900,2035364
272,tamonten10,65150,65150
273,0xleng1,64710,167260
274,BowTiedChiro,64526,64526
275,JJFastCash,64000,161292
276,4af45b,64000,1164570
277,nDscrYpt,63650,6473453
278,BlastSpender,63490,1649743
279,ff460A,63050,9664137
280,DemitraTen20405,62500,133215
281,GeorgJoyan29352,62500,130500
282,Boan0822,62410,160028
283,MikeyTheWop,61548,345369
284,LevanaConquerer,60985,4224407
285,0xAvarice,60729,619037
286,EMonolo,60000,3218608
287,merts_eth,58660,1271530
288,7b58C7,57709,725785
289,loudogvideo,57493,623912
290,38286F,56427,1173388
291,40b6d4,56384,5517278
292,TrashxPandaNFT,55296,67540
293,wilc_eth,55225,290675
294,C9fE4E,55000,916430
295,D8770D,54533,231369
296,DaBb6e,54413,3393686
297,D609fB,54380,54380
298,thezzoli,53450,53450
299,eB3C69,52700,113720
300,9A6bae,52375,916093
